year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Brand,Car_Type,High_Performance,vehicle_id,model,image_url
2016,13500,Automatic,91587,Diesel,165.0,51.4,3.0,BMW,Sedan,0,27804, 5 Series,/static/car_images/BMW_5_Series.jpg
2019,22899,Manual,9800,Diesel,145.0,51.4,1.6,Audi,Hatchback,0,35032, A3,/static/car_images/Audi_A3.jpg
2018,14300,Manual,10623,Diesel,145.0,61.4,1.6,Volkswagen,Hatchback,0,87660, Golf,/static/car_images/Volkswagen_Golf.jpg
2017,11295,Manual,29511,Diesel,145.0,70.6,1.6,Vauxhall-Opel,Other,0,78594, Mokka X,/static/car_images/default.jpg
2013,5495,Manual,95000,Diesel,30.0,61.4,1.6,Skoda,Other,0,62076, Yeti,/static/car_images/Skoda_Yeti.jpg
2019,19798,Manual,7,Petrol,150.0,47.1,1.5,Volkswagen,Hatchback,0,84321, Golf,/static/car_images/Volkswagen_Golf.jpg
2019,26782,Semi-Auto,5626,Petrol,150.0,42.2,2.0,BMW,Sedan,0,24385, 3 Series,/static/car_images/BMW_3_Series.jpg
2019,36090,Automatic,6374,Petrol,145.0,30.4,3.0,Mercedes-Benz,Sedan,0,48936, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2019,23999,Semi-Auto,1019,Diesel,145.0,55.4,2.0,Mercedes-Benz,Other,0,51682, B Class,/static/car_images/Mercedes-Benz_B_Class.jpg
2017,10500,Manual,6225,Petrol,0.0,65.7,1.0,Ford,Hatchback,0,3737, Fiesta,/static/car_images/Ford_Fiesta.jpg
2019,46500,Semi-Auto,8148,Diesel,145.0,36.7,2.0,Mercedes-Benz,Other,0,50941, GLE Class,/static/car_images/Mercedes-Benz_GLE_Class.jpg
2018,19900,Semi-Auto,9058,Diesel,145.0,62.8,2.0,Audi,Hatchback,0,34464, A3,/static/car_images/Audi_A3.jpg
2014,14890,Semi-Auto,35000,Diesel,150.0,56.5,2.0,Mercedes-Benz,Coupe,0,49761, SLK,/static/car_images/Mercedes-Benz_SLK.jpg
2016,11784,Manual,6000,Diesel,0.0,74.3,1.5,Ford,Hatchback,0,11014, Focus,/static/car_images/Ford_Focus.jpg
2017,13490,Manual,38121,Diesel,150.0,60.1,2.0,Ford,SUV,0,3241, Kuga,/static/car_images/Ford_Kuga.jpg
2016,17998,Semi-Auto,23595,Diesel,30.0,62.8,2.0,Volkswagen,Hatchback,0,84023, Golf,/static/car_images/Volkswagen_Golf.jpg
2017,18791,Semi-Auto,52232,Diesel,20.0,67.3,2.0,Mercedes-Benz,Sedan,0,48580, E Class,/static/car_images/Mercedes-Benz_E_Class.jpg
2018,22766,Automatic,4200,Petrol,145.0,47.1,2.0,Mercedes-Benz,Sedan,0,49174, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2016,9955,Manual,51460,Diesel,0.0,85.6,1.6,Vauxhall-Opel,Hatchback,0,73317, Astra,/static/car_images/default.jpg
2015,7550,Manual,24450,Petrol,30.0,55.4,1.4,Vauxhall-Opel,Hatchback,0,70286, Corsa,/static/car_images/default.jpg
2018,17600,Automatic,17561,Diesel,150.0,65.7,1.5,Mercedes-Benz,Other,0,55339, A Class,/static/car_images/Mercedes-Benz_A_Class.jpg
2019,40428,Semi-Auto,100,Petrol,145.0,34.0,2.0,BMW,Other,0,24705, X2,/static/car_images/BMW_X2.jpg
2017,15989,Manual,10973,Petrol,150.0,51.4,1.6,Mercedes-Benz,Other,0,49048, A Class,/static/car_images/Mercedes-Benz_A_Class.jpg
2016,16100,Automatic,33285,Diesel,20.0,64.2,2.0,Audi,Sedan,0,38347, A6,/static/car_images/Audi_A6.jpg
2018,12500,Manual,17793,Petrol,145.0,55.4,1.1,Ford,Hatchback,0,12883, Fiesta,/static/car_images/Ford_Fiesta.jpg
2019,11495,Manual,3296,Petrol,150.0,55.4,1.1,Ford,Hatchback,0,11407, Fiesta,/static/car_images/Ford_Fiesta.jpg
2019,13491,Manual,3508,Diesel,145.0,60.1,1.5,Vauxhall-Opel,Other,0,79271, Crossland X,/static/car_images/default.jpg
2019,31519,Semi-Auto,1000,Petrol,,,1.5,Mercedes-Benz,Sedan,0,100419, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2019,22990,Manual,9129,Petrol,145.0,37.2,2.0,Volkswagen,Hatchback,0,86930, Golf,/static/car_images/Volkswagen_Golf.jpg
2016,8498,Manual,29577,Petrol,20.0,60.1,1.0,Volkswagen,Hatchback,0,89977, Polo,/static/car_images/Volkswagen_Polo.jpg
2019,11190,Manual,15246,Diesel,145.0,62.8,1.5,Vauxhall-Opel,Other,0,79140, Crossland X,/static/car_images/default.jpg
2018,17190,Semi-Auto,32082,Diesel,145.0,57.7,1.7,Hyundai,SUV,0,40766, Tucson,/static/car_images/Hyundai_Tucson.jpg
2019,20000,Manual,24,Diesel,145.0,65.7,2.0,Ford,Sedan,0,35, Mondeo,/static/car_images/Ford_Mondeo.jpg
2017,20990,Manual,44738,Diesel,145.0,58.9,2.0,Audi,Sedan,0,33417, A6,/static/car_images/Audi_A6.jpg
2019,17299,Manual,5013,Petrol,145.0,60.1,1.0,Ford,Hatchback,0,11657, Focus,/static/car_images/Ford_Focus.jpg
2017,17954,Semi-Auto,21178,Petrol,150.0,47.9,1.4,Audi,Other,0,29699, Q3,/static/car_images/Audi_Q3.jpg
2014,8999,Manual,47772,Diesel,145.0,53.3,2.0,Ford,SUV,0,14447, Kuga,/static/car_images/Ford_Kuga.jpg
2017,11995,Semi-Auto,35289,Diesel,,,1.5,Ford,Hatchback,0,103973, Focus,/static/car_images/Ford_Focus.jpg
2017,7495,Manual,17467,Petrol,145.0,64.2,1.0,Volkswagen,Other,0,95330, Up,/static/car_images/Volkswagen_Up.jpg
2019,25899,Automatic,5647,Diesel,145.0,56.5,2.1,Mercedes-Benz,Other,0,50720, GLA Class,/static/car_images/Mercedes-Benz_GLA_Class.jpg
2019,22490,Manual,3200,Petrol,145.0,42.2,1.5,Audi,Hatchback,0,38048, A3,/static/car_images/Audi_A3.jpg
2016,10250,Manual,29705,Petrol,,,1.0,Ford,Hatchback,0,105788, Focus,/static/car_images/Ford_Focus.jpg
2018,17999,Semi-Auto,16350,Diesel,145.0,60.1,2.0,Skoda,Sedan,0,58617, Superb,/static/car_images/Skoda_Superb.jpg
2016,15500,Manual,40000,Diesel,125.0,56.5,2.0,Ford,Other,0,14000, S-MAX,/static/car_images/Ford_S-MAX.jpg
2018,14995,Automatic,13889,Petrol,145.0,55.4,1.5,BMW,Other,0,26251, 2 Series,/static/car_images/BMW_2_Series.jpg
2016,13499,Automatic,19525,Diesel,125.0,56.5,2.0,Ford,Other,0,14406, Grand C-MAX,/static/car_images/Ford_Grand_C-MAX.jpg
2019,18500,Manual,16003,Petrol,145.0,34.9,1.6,Hyundai,SUV,0,39707, Tucson,/static/car_images/Hyundai_Tucson.jpg
2013,10662,Manual,40104,Petrol,145.0,49.6,1.6,Mercedes-Benz,Other,0,46071, A Class,/static/car_images/Mercedes-Benz_A_Class.jpg
2019,22990,Semi-Auto,11083,Petrol,150.0,39.2,1.5,Volkswagen,Sedan,0,89021, Passat,/static/car_images/Volkswagen_Passat.jpg
2014,14450,Manual,27405,Petrol,165.0,44.8,2.0,BMW,Other,0,18995, 4 Series,/static/car_images/BMW_4_Series.jpg
2019,7995,Manual,5384,Petrol,145.0,46.3,1.0,Vauxhall-Opel,Other,0,75905, Viva,/static/car_images/default.jpg
2019,31245,Semi-Auto,13387,Diesel,145.0,56.5,2.1,Mercedes-Benz,Other,0,48140, GLC Class,/static/car_images/Mercedes-Benz_GLC_Class.jpg
2014,4887,Manual,38377,Petrol,0.0,65.7,1.0,Toyota,Other,0,67973, Aygo,/static/car_images/Toyota_Aygo.jpg
2018,8980,Manual,11620,Petrol,145.0,64.2,1.1,Ford,Hatchback,0,13821, Fiesta,/static/car_images/Ford_Fiesta.jpg
2019,26995,Semi-Auto,8021,Diesel,150.0,52.3,2.0,BMW,Sedan,0,22929, 3 Series,/static/car_images/BMW_3_Series.jpg
2017,18995,Semi-Auto,20647,Diesel,150.0,49.6,2.0,Volkswagen,SUV,0,93375, Tiguan,/static/car_images/Volkswagen_Tiguan.jpg
2019,26000,Semi-Auto,7750,Petrol,145.0,38.7,2.0,Audi,Sedan,0,32060, A4,/static/car_images/Audi_A4.jpg
2016,9850,Manual,31522,Petrol,20.0,60.1,1.2,Volkswagen,Hatchback,0,91535, Polo,/static/car_images/Volkswagen_Polo.jpg
2017,25000,Semi-Auto,45000,Diesel,145.0,47.1,3.0,Audi,Other,0,32075, A8,/static/car_images/Audi_A8.jpg
2018,16000,Manual,6398,Petrol,145.0,47.1,1.5,Vauxhall-Opel,Sedan,0,82442, Insignia,/static/car_images/default.jpg
2014,11400,Automatic,38055,Diesel,30.0,62.8,2.0,BMW,Sedan,0,27819, 3 Series,/static/car_images/BMW_3_Series.jpg
2017,9995,Manual,11200,Petrol,0.0,65.7,1.0,Ford,Hatchback,0,11777, Fiesta,/static/car_images/Ford_Fiesta.jpg
2014,11795,Manual,92840,Diesel,20.0,68.9,2.1,Mercedes-Benz,Sedan,0,54314, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2017,10447,Manual,10584,Petrol,145.0,62.8,1.0,Ford,Hatchback,0,5601, Fiesta,/static/car_images/Ford_Fiesta.jpg
2019,28749,Automatic,5099,Diesel,,,2.1,Mercedes-Benz,Sedan,0,99826, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2019,26490,Semi-Auto,8785,Diesel,145.0,50.4,2.0,BMW,Other,0,21289, X1,/static/car_images/BMW_X1.jpg
2018,22890,Semi-Auto,4642,Diesel,145.0,46.3,1.6,Audi,Other,0,28829, Q2,/static/car_images/Audi_Q2.jpg
2019,16440,Automatic,16199,Petrol,,,1.0,Ford,Hatchback,0,101922, Focus,/static/car_images/Ford_Focus.jpg
2018,9000,Manual,7126,Petrol,145.0,60.1,0.0,Hyundai,Other,0,38770, I10,/static/car_images/Hyundai_I10.jpg
2017,7490,Manual,14000,Petrol,145.0,57.7,1.2,Ford,Other,0,1599, Ka+,/static/car_images/Ford_Ka+.jpg
2018,22225,Semi-Auto,37377,Diesel,145.0,62.8,2.0,Audi,Other,0,34806, A5,/static/car_images/Audi_A5.jpg
2008,2499,Automatic,83000,Petrol,265.0,38.2,1.6,Ford,Hatchback,0,17346, Fiesta,/static/car_images/Ford_Fiesta.jpg
2018,13695,Manual,24600,Diesel,145.0,53.3,2.0,Vauxhall-Opel,Sedan,0,82575, Insignia,/static/car_images/default.jpg
2017,11700,Manual,34630,Diesel,145.0,67.3,1.6,Volkswagen,Hatchback,0,87707, Golf,/static/car_images/Volkswagen_Golf.jpg
2017,19295,Manual,20647,Petrol,145.0,50.4,1.4,Audi,Other,0,30476, Q2,/static/car_images/Audi_Q2.jpg
2018,16470,Semi-Auto,18323,Diesel,145.0,56.5,1.5,BMW,Other,0,25867, 2 Series,/static/car_images/BMW_2_Series.jpg
2017,11490,Manual,17423,Petrol,,,1.0,Ford,Hatchback,0,104453, Focus,/static/car_images/Ford_Focus.jpg
2019,23950,Semi-Auto,2918,Diesel,150.0,49.6,2.0,BMW,Other,0,22422, 2 Series,/static/car_images/BMW_2_Series.jpg
2015,13599,Automatic,35977,Petrol,125.0,53.3,2.0,Mercedes-Benz,Sedan,0,54180, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2017,9798,Manual,27485,Petrol,150.0,60.1,1.0,Ford,Hatchback,0,2660, Focus,/static/car_images/Ford_Focus.jpg
2018,25500,Semi-Auto,10592,Diesel,,,2.1,Mercedes-Benz,Sedan,0,99473, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2018,19500,Manual,17325,Petrol,150.0,47.1,1.2,Toyota,Other,0,68410, C-HR,/static/car_images/Toyota_C-HR.jpg
2015,21000,Automatic,17006,Petrol,235.0,38.2,3.0,BMW,Other,0,26193, 4 Series,/static/car_images/BMW_4_Series.jpg
2017,17495,Manual,22000,Petrol,150.0,60.1,1.4,Audi,Hatchback,0,33507, A3,/static/car_images/Audi_A3.jpg
2016,6700,Manual,21743,Petrol,30.0,55.4,1.4,Vauxhall-Opel,Hatchback,0,72145, Corsa,/static/car_images/default.jpg
2013,5297,Manual,69420,Petrol,30.0,56.5,1.0,Ford,Hatchback,0,4608, Focus,/static/car_images/Ford_Focus.jpg
2017,9800,Semi-Auto,48272,Petrol,20.0,60.1,1.2,Volkswagen,Hatchback,0,92924, Polo,/static/car_images/Volkswagen_Polo.jpg
2017,11990,Manual,16670,Petrol,145.0,47.1,1.4,Vauxhall-Opel,Other,0,78188, Mokka X,/static/car_images/default.jpg
2015,12090,Manual,67239,Diesel,20.0,67.3,2.0,Volkswagen,Hatchback,0,85031, Golf,/static/car_images/Volkswagen_Golf.jpg
2015,7995,Manual,60120,Petrol,165.0,46.3,1.2,Skoda,Other,0,61036, Yeti Outdoor,/static/car_images/Skoda_Yeti_Outdoor.jpg
2018,7495,Manual,2611,Petrol,145.0,69.0,1.0,Toyota,Other,0,66657, Aygo,/static/car_images/Toyota_Aygo.jpg
2019,39999,Automatic,3412,Diesel,260.0,27.7,3.0,Volkswagen,Other,0,97641, Amarok,/static/car_images/Volkswagen_Amarok.jpg
2018,30500,Automatic,15157,Diesel,145.0,39.2,2.2,Hyundai,SUV,0,41086, Santa Fe,/static/car_images/Hyundai_Santa_Fe.jpg
2019,20980,Automatic,14345,Petrol,150.0,45.6,1.3,Mercedes-Benz,Other,0,55906, B Class,/static/car_images/Mercedes-Benz_B_Class.jpg
2016,10499,Manual,17606,Diesel,0.0,74.3,1.5,Ford,Hatchback,0,16783, Focus,/static/car_images/Ford_Focus.jpg
2013,6000,Manual,47246,Petrol,145.0,47.1,1.4,Hyundai,Hatchback,0,43144, I30,/static/car_images/Hyundai_I30.jpg
2016,12392,Automatic,124000,Diesel,20.0,64.2,2.1,Mercedes-Benz,Sedan,0,53393, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2019,24789,Automatic,428,Petrol,,,1.5,Mercedes-Benz,Sedan,0,100401, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2019,22990,Semi-Auto,4960,Diesel,145.0,53.3,2.0,Ford,Other,0,10443, Galaxy,/static/car_images/Ford_Galaxy.jpg
2019,20980,Manual,2985,Petrol,150.0,44.1,1.5,BMW,Other,0,20921, 1 Series,/static/car_images/BMW_1_Series.jpg
2017,18490,Semi-Auto,46430,Diesel,150.0,61.4,2.1,Mercedes-Benz,Sedan,0,48076, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2019,15985,Manual,3205,Petrol,145.0,52.3,1.0,Volkswagen,Hatchback,0,89774, Polo,/static/car_images/Volkswagen_Polo.jpg
2020,29490,Semi-Auto,1703,Diesel,145.0,51.4,2.0,Audi,Other,0,31282, A5,/static/car_images/Audi_A5.jpg
2019,17950,Manual,8750,Petrol,145.0,47.9,1.0,Volkswagen,Other,0,89694, T-Cross,/static/car_images/Volkswagen_T-Cross.jpg
2017,48995,Semi-Auto,11279,Diesel,145.0,39.2,4.0,Audi,SUV,0,30864, Q7,/static/car_images/Audi_Q7.jpg
2015,19995,Semi-Auto,47808,Diesel,300.0,39.2,3.0,Mercedes-Benz,Other,0,45027, M Class,/static/car_images/Mercedes-Benz_M_Class.jpg
2018,11995,Manual,12608,Petrol,145.0,54.3,1.0,Ford,SUV,0,7389, EcoSport,/static/car_images/Ford_EcoSport.jpg
2019,13495,Manual,4,Petrol,145.0,42.2,1.2,Vauxhall-Opel,Other,0,82841, Combo Life,/static/car_images/default.jpg
2019,9900,Manual,1970,Petrol,150.0,43.5,1.4,Vauxhall-Opel,Hatchback,0,70041, Corsa,/static/car_images/default.jpg
2019,25950,Automatic,296,Petrol,145.0,48.7,2.0,BMW,Other,0,25520, 4 Series,/static/car_images/BMW_4_Series.jpg
2018,6000,Manual,22397,Petrol,145.0,64.2,1.0,Skoda,Other,0,58298, Citigo,/static/car_images/Skoda_Citigo.jpg
2007,2999,Automatic,98865,Petrol,300.0,36.2,1.6,Vauxhall-Opel,Hatchback,0,75175, Astra,/static/car_images/default.jpg
2015,7980,Manual,36522,Diesel,20.0,68.9,1.6,Vauxhall-Opel,Sedan,0,82176, Insignia,/static/car_images/default.jpg
2019,22789,Automatic,3577,Other,145.0,49.6,2.0,Volkswagen,Other,0,83633, T-Roc,/static/car_images/Volkswagen_T-Roc.jpg
2018,16299,Manual,13336,Petrol,145.0,50.4,1.5,Vauxhall-Opel,Sedan,0,82113, Insignia,/static/car_images/default.jpg
2019,10000,Manual,8570,Petrol,145.0,43.5,1.4,Vauxhall-Opel,Hatchback,0,71961, Corsa,/static/car_images/default.jpg
2018,34390,Automatic,16568,Diesel,145.0,48.7,2.9,Mercedes-Benz,Other,0,47436, CLS Class,/static/car_images/Mercedes-Benz_CLS_Class.jpg
2019,26000,Semi-Auto,9180,Diesel,,,2.0,Mercedes-Benz,Sedan,0,98803, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2018,18991,Semi-Auto,21941,Diesel,150.0,64.2,2.0,BMW,Sedan,0,21612, 3 Series,/static/car_images/BMW_3_Series.jpg
2016,10499,Manual,24877,Diesel,0.0,83.1,1.5,BMW,Other,0,25580, 1 Series,/static/car_images/BMW_1_Series.jpg
2017,25999,Semi-Auto,21350,Petrol,160.0,43.5,2.0,Audi,Hatchback,0,35025, A3,/static/car_images/Audi_A3.jpg
2016,9500,Manual,26481,Diesel,20.0,68.9,1.6,Vauxhall-Opel,Other,0,76592, Mokka,/static/car_images/default.jpg
2019,15990,Manual,9751,Diesel,145.0,53.3,1.5,Vauxhall-Opel,Other,0,82725, Combo Life,/static/car_images/default.jpg
2016,20995,Semi-Auto,23700,Diesel,30.0,61.4,2.0,Audi,Sedan,0,38722, A4,/static/car_images/Audi_A4.jpg
2019,18830,Manual,9640,Petrol,145.0,42.8,1.5,Audi,Hatchback,0,33538, A3,/static/car_images/Audi_A3.jpg
2019,18500,Manual,18341,Petrol,145.0,40.9,1.6,Mercedes-Benz,Other,0,55035, GLA Class,/static/car_images/Mercedes-Benz_GLA_Class.jpg
2017,23000,Manual,11000,Petrol,150.0,40.9,1.4,Skoda,SUV,0,59594, Kodiaq,/static/car_images/Skoda_Kodiaq.jpg
2019,24775,Manual,3758,Diesel,145.0,64.2,2.0,BMW,Sedan,0,20619, 3 Series,/static/car_images/BMW_3_Series.jpg
2016,18480,Semi-Auto,40586,Diesel,145.0,56.5,2.0,Audi,Other,0,30817, A5,/static/car_images/Audi_A5.jpg
2017,9700,Manual,16136,Petrol,0.0,65.7,1.0,Ford,Hatchback,0,6418, Fiesta,/static/car_images/Ford_Fiesta.jpg
2017,7325,Manual,37061,Petrol,125.0,53.3,1.2,Vauxhall-Opel,Other,0,80814, Adam,/static/car_images/default.jpg
2019,25899,Semi-Auto,10662,Petrol,145.0,47.1,1.5,Mercedes-Benz,Sedan,0,51621, C Class,/static/car_images/Mercedes-Benz_C_Class.jpg
2014,6100,Manual,35000,Petrol,125.0,51.4,1.2,Vauxhall-Opel,Hatchback,0,71737, Corsa,/static/car_images/default.jpg
2015,8990,Manual,42000,Diesel,20.0,68.9,2.0,Audi,Hatchback,0,36048, A3,/static/car_images/Audi_A3.jpg
2014,14791,Semi-Auto,46000,Diesel,265.0,41.5,2.2,Hyundai,SUV,0,40419, Santa Fe,/static/car_images/Hyundai_Santa_Fe.jpg
2016,5394,Manual,117000,Diesel,0.0,74.3,1.6,Vauxhall-Opel,Sedan,0,82314, Insignia,/static/car_images/default.jpg
2018,12990,Automatic,8125,Petrol,145.0,47.1,1.5,Toyota,Hatchback,0,63555, Yaris,/static/car_images/Toyota_Yaris.jpg
